slug,provider,offer,actionButtons,toolType,programmingLanguage,tag,description,planType,planName,price,trial,starred,dependencies,latestKnownVersion,latestKnownReleaseDate,maintainer,license
algorand-java-sdk,Algorand,Java SDK,"[""[Docs](https://algorand.github.io/java-algorand-sdk/)"",""[GitHub](https://github.com/algorand/java-algorand-sdk)""]",SDK,Java,"[""Algorand"",""Transactions"",""Smart Contracts""]","Official Java 8+ SDK for constructing and signing transactions and interacting with the Algorand network.",Public,,$0,FALSE,FALSE,"[""com.fasterxml.jackson.core:jackson-annotations@2.18.6"",""com.fasterxml.jackson.core:jackson-core@2.18.6"",""com.fasterxml.jackson.core:jackson-databind@2.18.6"",""com.google.code.gson:gson@2.8.9"",""com.squareup.okhttp:logging-interceptor@2.7.5"",""com.squareup.okhttp:okhttp@2.7.5"",""com.squareup.okio:okio@1.17.6"",""commons-codec:commons-codec@1.19.0"",""io.gsonfire:gson-fire@1.8.0"",""io.swagger:swagger-annotations@1.5.18"",""org.apache.commons:commons-lang3@3.18.0"",""org.bouncycastle:bcprov-jdk15to18@1.78"",""org.msgpack:jackson-dataformat-msgpack@0.9.9"",""org.threeten:threetenbp@1.3.5"",""com.google.guava:guava@32.0.1-android""]",,,,
algorand-javascript-sdk,Algorand,JavaScript SDK,"[""[Docs](https://algorand.github.io/js-algorand-sdk/)"",""[GitHub](https://github.com/algorand/js-algorand-sdk)""]",SDK,"JavaScript, TypeScript","[""Algorand"",""Transactions"",""Smart Contracts""]","Official JavaScript and TypeScript SDK for constructing and signing transactions and interacting with Algorand network APIs.",Public,,$0,FALSE,FALSE,"[""algorand-msgpack@^1.1.0"",""hi-base32@^0.5.1"",""js-sha256@^0.9.0"",""js-sha3@^0.8.0"",""js-sha512@^0.8.0"",""json-bigint@^1.0.0"",""tweetnacl@^1.0.3"",""vlq@^2.0.4""]",,,,
algorand-python-sdk,Algorand,Python SDK,"[""[Docs](https://py-algorand-sdk.readthedocs.io/en/latest/)"",""[GitHub](https://github.com/algorand/py-algorand-sdk)""]",SDK,Python,"[""Algorand"",""Transactions"",""Smart Contracts""]","Official Python SDK for constructing and signing transactions and interacting with Algorand network APIs.",Public,,$0,FALSE,FALSE,"[""pynacl@>=1.4.0,<2"",""pycryptodomex@>=3.6.0,<4"",""msgpack@>=1.0.0,<2"",""typing_extensions@>=4.9.0,<5""]",,,,
alloy,Alloy,,"[""[Docs](https://alloy.rs/)"",""[GitHub](https://github.com/alloy-rs/alloy)""]",Library,Rust,"[""Ethereum"",""Rust"",""JSON-RPC"",""Smart contracts"",""Network abstraction""]","Modular Rust libraries for connecting to Ethereum-compatible blockchains through providers, signers, contract bindings, JSON-RPC types, and network abstractions.",Free,,$0,FALSE,FALSE,"[""alloy-consensus@^2.4.2"",""alloy-contract@^2.4.2"",""alloy-core@^1.6.0"",""alloy-eips@^2.4.2"",""alloy-network@^2.4.2"",""alloy-provider@^2.4.2"",""alloy-rpc-client@^2.4.2"",""alloy-rpc-types@^2.4.2"",""alloy-serde@^2.4.2"",""alloy-signer@^2.4.2"",""alloy-signer-local@^2.4.2"",""alloy-transport@^2.4.2"",""alloy-transport-http@^2.4.2""]",,,,
ankr-sdk,Ankr,SDK,"[""[Docs](https://www.ankr.com/docs/advanced-api/javascript-sdk/)""]",SDK,JavaScript,"[""Ankr.js SDK"",""Ankr.py SDK"",""Advanced API""]","It offers compact libraries for querying RPC endpoints, fetching NFT/token data, transaction histories, and more via Ankr's global node infrastructure",Free,,$0,FALSE,FALSE,,TBD,TBD,TBD,MIT
anyalt,AnyAlt,,"[""[Website](https://www.anyalt.finance/)"",""[Docs](https://docs.anyalt.finance/sdk/overview)""]",SDK,TBD,"[""Cross-chain functionality"",""SDKs"",""APIs""]","Provides developers with an SDK and a pre-built widget to integrate cross-chain and last-mile transactions, including fiat-to-crypto on-ramps, into blockchain protocols and web3 projects",Free,,$0,FALSE,FALSE,,TBD,TBD,TBD,TBD
ape-framework,ApeWorx,,"[""[Docs](https://docs.apeworx.io/ape/stable/)"",""[GitHub](https://github.com/ApeWorX/ape)""]",Framework,Python,"[""Ethereum"",""Python"",""Smart contracts"",""Testing"",""Custom EVM networks""]","Python framework for compiling, testing, deploying, and interacting with smart contracts across Ethereum-compatible and custom EVM networks.",Public,,$0,FALSE,FALSE,"[""click@<8.2,>=8.1.6"",""ijson@<4,>=3.1.4"",""ipython@<9,>=8.18.1"",""lazyasd@>=0.1.4"",""asttokens@<3,>=2.4.1"",""cchecksum@<1,>=0.0.3"",""numpy@<2"",""packaging@<24,>=23.0"",""pandas@<3,>=2.2.2"",""pluggy@<2,>=1.3"",""pydantic@<3,>=2.10"",""pydantic-settings@<3,>=2.5.2"",""pytest@<9.0,>=8.0"",""python-dateutil@<3,>=2.8.2"",""PyYAML@<7,>=5.1"",""requests@<3,>=2.28.1"",""rich@<15,>=14.3.3"",""SQLAlchemy@>=1.4.35"",""toml; python_version < \""3.11\"""",""tqdm@<5.0,>=4.67"",""traitlets@>=5.3.0"",""urllib3@<3,>=2.3"",""watchdog@<4,>=3.0"",""eth-abi@<6,>=5.1.0"",""eth-account@<0.14,>=0.11.3"",""eth-typing@<6,>=3.5.2"",""eth-utils@<6,>=2.1.0"",""hexbytes@<2,>=1.2.0"",""py-geth@<7,>=6.2.0"",""trie@<4,>=3.0.1"",""web3[tester]@<8,>=7.12.1"",""ethpm-types@<0.7,>=0.6.28"",""eip712@<0.4,>=0.3.0"",""eth_pydantic_types@<0.3,>=0.2.1"",""evmchains@<0.2,>=0.1.0"",""evm-trace@<0.3,>=0.2.6""]",,,,
arbitrum-sdk,Arbitrum,SDK,"[""[GitHub](https://github.com/OffchainLabs/arbitrum-sdk)"",""[npm](https://www.npmjs.com/package/@arbitrum/sdk)""]",SDK,TypeScript,"[""Bridge SDK""]",TypeScript SDK for bridging assets and sending cross-chain messages on Arbitrum chains,Free,,$0,FALSE,FALSE,,TBD,TBD,TBD,TBD
assembly-script,AssemblyScript,,"[""[Website](https://www.assemblyscript.org/introduction.html)""]",SDK,TBD,"[""WebAssembly"",""TypeScript"",""JavaScript""]",It offers a compiler and toolchain allowing developers to write high-performance code in a TypeScript-like language and compile it to WebAssembly,Free,,$0,FALSE,FALSE,,TBD,TBD,TBD,TBD
avalanche-sdk-chainkit,Ava Labs,SDK ChainKit,"[""[Docs](https://developers.avacloud.io/avalanche-sdk/chainkit-sdk/getting-started)"",""[GitHub](https://github.com/ava-labs/avalanche-sdk-typescript)""]",SDK,TypeScript,"[""Avalanche"",""ChainKit"",""Glacier API"",""Metrics API""]",TypeScript SDK package for Avalanche Glacier Data and Metrics APIs with typed models and helper utilities,Free,,$0,FALSE,FALSE,,TBD,TBD,Ava Labs,BSD-3-Clause
avalanche-sdk-client,Ava Labs,SDK Client,"[""[Docs](https://developers.avacloud.io/avalanche-sdk/client-sdk/getting-started)"",""[GitHub](https://github.com/ava-labs/avalanche-sdk-typescript)""]",SDK,TypeScript,"[""Avalanche"",""RPC"",""Wallet Integration"",""Client SDK""]","TypeScript SDK package for direct Avalanche chain interaction including RPC access, transaction handling and wallet workflows",Free,,$0,FALSE,FALSE,,TBD,TBD,Ava Labs,BSD-3-Clause
avalanche-sdk-interchain,Ava Labs,SDK Interchain,"[""[Docs](https://developers.avacloud.io/avalanche-sdk/interchain-sdk/getting-started)"",""[GitHub](https://github.com/ava-labs/avalanche-sdk-typescript)""]",SDK,TypeScript,"[""Avalanche"",""Interchain Messaging"",""ICM"",""Teleporter""]",TypeScript SDK package for building cross-L1 messaging flows on Avalanche using ICM and Teleporter,Free,,$0,FALSE,FALSE,,TBD,TBD,Ava Labs,BSD-3-Clause
axelar-sdk,Axelar,SDK,"[""[Docs](https://docs.axelar.dev/dev/axelarjs-sdk/intro/)""]",SDK,JavaScript,"[""Cross-chain communication"",""Interoperability"",""AxelarJS SDK""]",SDK for integrating cross-chain token transfers and general message passing using Axelars decentralized interoperability network,Free,,$0,FALSE,FALSE,,TBD,TBD,TBD,Apache-2.0
aztec-sdk-free,Aztec,,"[""[Docs](https://docs.aztec.network/developers/docs/aztec-js)""]",SDK,TBD,"[""Zero-Knowledge Proofs"",""Privacy-first /Confidential transactions"",""Ethereum Layer 2""]","It provides SDK, documentation, testnet access and especially Noir, a Rust-like programming language for writing zero-knowledge smart contracts",Free,,$0 ,FALSE,FALSE,,TBD,TBD,TBD,TBD
biconomy,Biconomy,,"[""[Docs](https://docs.biconomy.io/)""]",SDK,TypeScript,"[""Gasless transactions"",""Relayer"",""AbstractJS SDK""]","Multichain relayer infrastructure offering gasless transactions, transaction batching and other features to simplify Web3 UX and onboarding",Enterprise,,Custom,FALSE,FALSE,,TBD,TBD,TBD,TBD
blockdaemon-sdk-enterprise,Blockdaemon,Staking SDK,"[""[GitLab](https://gitlab.com/Blockdaemon/open-source/staking-sdk/-/tree/dev/libs/ts/staking-sdk-eth)"",""[Contact](https://www.blockdaemon.com/api/pricing)""]",SDK,TypeScript,"[""Web3 Gateway"",""Institutional Grade Blockchain"",""Scalable Blockchain Solutions"",""Multi-Protocol Support""]","It provides an extensive toolkit, including REST and RPC APIs and SDKs, for developers to build Web3 applications and integrate with various blockchain networks",Enterprise,,Custom,FALSE,FALSE,,TBD,TBD,TBD,TBD
blockdaemon-sdk-free,Blockdaemon,Staking SDK,"[""[GitLab](https://gitlab.com/Blockdaemon/open-source/staking-sdk/-/tree/dev/libs/ts/staking-sdk-eth)"",""[Docs](https://docs.blockdaemon.com/reference/staking-sdk)""]",SDK,TypeScript,"[""Web3 Gateway"",""Institutional Grade Blockchain"",""Scalable Blockchain Solutions"",""Multi-Protocol Support""]","It provides an extensive toolkit, including REST and RPC APIs and SDKs, for developers to build Web3 applications and integrate with various blockchain networks",Free,,$0,FALSE,FALSE,,TBD,TBD,TBD,TBD
blockdaemon-sdk-growth,Blockdaemon,Staking SDK,"[""[GitLab](https://gitlab.com/Blockdaemon/open-source/staking-sdk/-/tree/dev/libs/ts/staking-sdk-eth)"",""[Contact](https://www.blockdaemon.com/api/pricing)""]",SDK,TypeScript,"[""Web3 Gateway"",""Institutional Grade Blockchain"",""Scalable Blockchain Solutions"",""Multi-Protocol Support""]","It provides an extensive toolkit, including REST and RPC APIs and SDKs, for developers to build Web3 applications and integrate with various blockchain networks",Tiered,Growth,Custom,FALSE,FALSE,,TBD,TBD,TBD,TBD
blockdaemon-sdk-starter,Blockdaemon,Staking SDK,"[""[GitLab](https://gitlab.com/Blockdaemon/open-source/staking-sdk/-/tree/dev/libs/ts/staking-sdk-eth)"",""[Contact](https://www.blockdaemon.com/api/pricing)""]",SDK,TypeScript,"[""Web3 Gateway"",""Institutional Grade Blockchain"",""Scalable Blockchain Solutions"",""Multi-Protocol Support""]","It provides an extensive toolkit, including REST and RPC APIs and SDKs, for developers to build Web3 applications and integrate with various blockchain networks",Tiered,Starter,Custom,FALSE,FALSE,,TBD,TBD,TBD,TBD
blueprint-func,Blueprint,,"[""[Website](https://github.com/ton-org/blueprint)""]",Framework,FunC,"[""Smart Contract Framework"",""Tact"",""FunC"",""Testing""]","The official development environment for writing, testing, and deploying smart contracts on TON. Similar to Hardhat but for the TVM",Free,,$0,FALSE,FALSE,,TBD,TBD,TBD,TBD
blueprint-tact,Blueprint,,"[""[Website](https://github.com/ton-org/blueprint)""]",Framework,Tact,"[""Smart Contract Framework"",""Tact"",""FunC"",""Testing""]","The official development environment for writing, testing, and deploying smart contracts on TON. Similar to Hardhat but for the TVM",Free,,$0,FALSE,FALSE,,TBD,TBD,TBD,TBD
blueprint-tolk,Blueprint,,"[""[Website](https://github.com/ton-org/blueprint)""]",Framework,Tolk,"[""Smart Contract Framework"",""Tact"",""FunC"",""Testing""]","The official development environment for writing, testing, and deploying smart contracts on TON. Similar to Hardhat but for the TVM",Free,,$0,FALSE,FALSE,,TBD,TBD,TBD,TBD
brownie,Brownie,,"[""[Website](https://github.com/eth-brownie/brownie)""]",Framework,Python,"[""Smart contract development""]","It provides developers with a robust set of tools to write, test, debug, and deploy smart contracts using the Python programming language instead of JavaScript/TypeScript, which is more common in Web3 development",Free,,$0,FALSE,FALSE,,TBD,TBD,TBD,TBD
capstone-disassembler,Capstone Disassembler,,"[""[Website](https://github.com/crytic/pyevmasm)""]",Library,TBD,"[""EVM assembler library"",""EVM disassembler"",""Assemble EVM instructions"",""EVM bytecode generation""]",It provides the granular control and visibility needed to work directly with the low-level machine code that powers smart contracts on Ethereum and other EVM-compatible blockchains,Free,,$0,FALSE,FALSE,,TBD,TBD,TBD,TBD
chainbase-sdk-developer,Chainbase,,"[""[Buy](https://platform.chainbase.com/pricing)""]",SDK,JavaScript,"[""Multi-Chain Data Platform"",""Blockchain Developer Tools"",""Blockchain Data API"",""On-Chain Data Analytics""]","It provides a full suite of tools and SDKs to help developers build Web3 applications more efficiently, including a console for creating, debugging and managing projects",Tiered,Developer,$99/mo,FALSE,TRUE,,TBD,TBD,TBD,TBD
chainbase-sdk-enterprise,Chainbase,,"[""[Contact](https://platform.chainbase.com/contact)""]",SDK,JavaScript,"[""Multi-Chain Data Platform"",""Blockchain Developer Tools"",""Blockchain Data API"",""On-Chain Data Analytics""]","It provides a full suite of tools and SDKs to help developers build Web3 applications more efficiently, including a console for creating, debugging and managing projects",Enterprise,,Custom,FALSE,TRUE,,TBD,TBD,TBD,TBD
chainbase-sdk-free,Chainbase,,"[""[Docs](https://docs.chainbase.com/network/introduction/networks/developers#setting-up-the-development-environment)""]",SDK,JavaScript,"[""Multi-Chain Data Platform"",""Blockchain Developer Tools"",""Blockchain Data API"",""On-Chain Data Analytics""]","It provides a full suite of tools and SDKs to help developers build Web3 applications more efficiently, including a console for creating, debugging and managing projects",Free,,$0 ,FALSE,TRUE,,TBD,TBD,TBD,TBD
connectkit,ConnectKit,,"[""[Website](https://family.co/docs/connectkit)""]",Library,TypeScript,"[""Wallet Connect"",""Web3 wallet"",""React Component Library""]",React component library for Web3 frontend developers that simplifies the process of connecting a user's cryptocurrency wallet to a decentralized application,Free,,$0,FALSE,FALSE,,TBD,TBD,TBD,TBD
dappkit,Dappkit,,"[""[GitHub](https://github.com/layerx-labs/dappkit)""]",SDK,TBD,"[""dApp development"",""Web3 SDK"",""Blockchain development"",""Smart contract interaction""]","It is a free, open-source Software Development Kit and platform that streamlines the creation and integration of web3 applications by providing pre-built tools, components, and code libraries",Free,,$0,FALSE,FALSE,,TBD,TBD,TBD,TBD
db3-js,db3.js,,"[""[Docs](https://docs.db3.network/)""]",SDK,JavaScript,"[""Decentralized Database"",""Blockchain"",""InterPlanetary File System"",""Arweave""]",It provides a collection of JavaScript and TypeScript libraries for developers to connect and interact with Ethereum and other EVM-compatible blockchain nodes,Free,,$0 ,FALSE,FALSE,,TBD,TBD,TBD,TBD
dfns-sdk-basic,Dfns,SDK,"[""[Buy](https://www.dfns.co/pricing)"",""[Docs](https://docs.dfns.co/sdks)"" ]",SDK,TypeScript,"[""Wallet-as-a-Service"",""Key Management"",""Account Abstraction""]","An institutional-grade Wallet-as-a-Service (WaaS) and digital asset infrastructure platform offering comprehensive SDKs for secure, programmable wallet management across dozens of blockchains.",Tiered,Basic,$600/mo,TRUE,FALSE,"[""buffer@^6.0.3"",""cross-fetch@^3.1.6""]",TBD,TBD,TBD,TBD
dfns-sdk-enterprise,Dfns,SDK,"[""[Contact](https://www.dfns.co/pricing)"",""[Docs](https://docs.dfns.co/sdks)"" ]",SDK,TypeScript,"[""Wallet-as-a-Service"",""Key Management"",""Account Abstraction""]","An institutional-grade Wallet-as-a-Service (WaaS) and digital asset infrastructure platform offering comprehensive SDKs for secure, programmable wallet management across dozens of blockchains.",Enterprise,,Custom,TRUE,FALSE,"[""buffer@^6.0.3"",""cross-fetch@^3.1.6""]",TBD,TBD,TBD,TBD
dfns-sdk-pro,Dfns,SDK,"[""[Buy](https://www.dfns.co/pricing)"",""[Docs](https://docs.dfns.co/sdks)"" ]",SDK,TypeScript,"[""Wallet-as-a-Service"",""Key Management"",""Account Abstraction""]","An institutional-grade Wallet-as-a-Service (WaaS) and digital asset infrastructure platform offering comprehensive SDKs for secure, programmable wallet management across dozens of blockchains.",Tiered,Pro,$2.8K/mo,TRUE,FALSE,"[""buffer@^6.0.3"",""cross-fetch@^3.1.6""]",TBD,TBD,TBD,TBD
dfns-sdk-starter,Dfns,SDK,"[""[Buy](https://www.dfns.co/pricing)"",""[Docs](https://docs.dfns.co/sdks)"" ]",SDK,TypeScript,"[""Wallet-as-a-Service"",""Key Management"",""Account Abstraction""]","An institutional-grade Wallet-as-a-Service (WaaS) and digital asset infrastructure platform offering comprehensive SDKs for secure, programmable wallet management across dozens of blockchains.",Tiered,Starter,$60/mo,TRUE,FALSE,"[""buffer@^6.0.3"",""cross-fetch@^3.1.6""]",TBD,TBD,TBD,TBD
dynamic-sdk-enterprise,Dynamic,SDK,"[""[Website](https://www.dynamic.xyz/sdk)"",""[Docs](https://www.dynamic.xyz/docs/unity/sdk-reference/overview)""]",SDK,TypeScript,"[""Web3 Onboarding"",""Wallet Integration"",""Authentication""]",Developer toolkit for embedding non-custodial wallets and frictionless user onboarding across multiple networks without complex backend infrastructure.,Enterprise,Custom,Custom,FALSE,FALSE,,TBD,TBD,Dynamic,TBD
dynamic-sdk-free,Dynamic,SDK,"[""[Website](https://www.dynamic.xyz/sdk)"",""[Docs](https://www.dynamic.xyz/docs/unity/sdk-reference/overview)""]",SDK,TypeScript,"[""Web3 Onboarding"",""Wallet Integration"",""Authentication""]",Developer toolkit for embedding non-custodial wallets and frictionless user onboarding across multiple networks without complex backend infrastructure.,Free,Starter,$0,FALSE,FALSE,,TBD,TBD,Dynamic,TBD
dynamic-sdk-growth,Dynamic,SDK,"[""[Website](https://www.dynamic.xyz/sdk)"",""[Docs](https://www.dynamic.xyz/docs/unity/sdk-reference/overview)""]",SDK,TypeScript,"[""Web3 Onboarding"",""Wallet Integration"",""Authentication""]",Developer toolkit for embedding non-custodial wallets and frictionless user onboarding across multiple networks without complex backend infrastructure.,Tiered,Growth,$249/mo,FALSE,FALSE,,TBD,TBD,Dynamic,TBD
embark,Embark,,"[""[Website](https://github.com/embarklabs/embark)""]",Framework,Rust,"[""Game Development"",""Game Engine"",""Open Source Tools"",""Rendering""]","It provides tools for developing smart contracts, integrating with blockchain platforms like Ethereum and connecting to decentralized storage and communication platforms",Free,,$0 ,FALSE,FALSE,,TBD,TBD,TBD,TBD
ens-js,ENSjs,,"[""[Website](https://github.com/ensdomains/ensjs?tab=readme-ov-file)""]",Library,JavaScript,"[""Ethereum Name Service"",""ENS Domains"",""Web3 Development""]",It allows developers to interact with the Ethereum Name Service smart contracts and infrastructure,Free,,$0 ,FALSE,FALSE,"[""@adraffy/ens-normalize@1.10.1"",""@ensdomains/address-encoder@1.1.3"",""@ensdomains/content-hash@^3.1.1"",""@ensdomains/dnsprovejs@0.5.1"",""abitype@^1.0.0"",""dns-packet@^5.3.1"",""graphql@^16.11.0"",""graphql-request@7.1.2"",""pako@^2.1.0"",""ts-pattern@^5.4.0"",""viem@^2.35.0""]",TBD,TBD,TBD,TBD
eth-abi,ApeWorx,,"[""[Docs](https://eth-abi.readthedocs.io/)"",""[GitHub](https://github.com/ApeWorX/eth-abi)""]",Library,Python,"[""Ethereum"",""Python"",""ABI encoding"",""ABI decoding""]","Python utilities for encoding and decoding values using Solidity's binary ABI format.",Public,,$0,FALSE,FALSE,"[""eth-utils@>=2.0.0"",""eth-typing@>=3.0.0"",""parsimonious@<0.11.0,>=0.10.0""]",,,,
